정류장번호,정류장명
DGB3600132300,곡란리(회곡지)
DGB3600132400,곡란리(채석장)
DGB3600132500,여천동(여유지)
DGB3600132700,TEST2019
DGB3600133000,여천동(사동방향)
DGB3600133400,정평현대A(입구)
DGB3600133600,펜타힐즈푸르지오 남편 건너
DGB3600133900,경북테크노파크
DGB3600134000,경북테크노파크 건너
DGB3600134100,대일포장 건너
DGB3600134200,대일포장
DGB3600134300,(주)청운
DGB3600134400,(주)청운 건너
DGB3600134500,예다인A북편 건너
DGB3600134600,예다인A북편
DGB3600134900,계전2리마을회관
DGB3600135000,계전1리마을회관
DGB3600135200,용천1리 회관
DGB3600135300,수이엔지
DGB3600135400,수이엔지 건너
DGB3600135500,제일농산 건너
DGB3600135600,제일농산
DGB3600135700,반곡리입구
DGB3600135800,계남1리 건너
DGB3600135900,계남1리
DGB3600136100,경일대정문2
DGB3600136200,힐스테이트 건너
DGB3600136300,한우리교회
DGB3600136400,한우리교회 건너
DGB3600136500,북1리
DGB3600136600,진량황제A 서편
DGB3600136700,임당회관 앞
DGB3600136800,임당회관 건너
DGB3600136900,임당빌딩 앞
DGB3600137000,임당빌딩 건너
DGB3600137100,강산애A 앞
DGB3600137200,강산애A 건너
DGB3600143400,대풍지
DGB3610000010,고곡1리
DGB3570004000,계지교(신녕방향)
DGB3570004100,계지교(경산방향)
DGB3570004300,치산1(치산방향)
DGB3570004600,치산2(신녕방향)
DGB3570004700,치산2(치산방향)
DGB3570004800,늘미(신녕방향)
DGB3570004900,넓문이(경산방향)
DGB3570005000,신덕교(신녕방향)
DGB3570005100,신덕교(경산방향)
DGB3570005300,신녕요양병원 건너
DGB3570005500,신녕요양병원
DGB3570005700,한국타이어
DGB3570005800,한국타이어 건너
DGB3570005900,부산1리(신녕방향)
DGB3570006000,부산1리(치산방향)
DGB3570006100,왕산리(치산방향)
DGB3570006300,부산리(신녕방향)
DGB3570006400,신녕(성덕대방향)
DGB3570006500,신녕(경산방향)
DGB3570006600,신령삼거리(경산방향)
DGB3570006700,신령삼거리(치산방향)
DGB357001478,영천고등학교건너
DGB357001479,주공1차아파트앞
DGB357001527,창신영업소
DGB357001576,계당리(금호경계)
DGB3570101500,애련1종점
DGB3600000200,하도(청도방향)
DGB3600000300,하도(경산방향)
DGB3600000400,원리(청도방향)
DGB3600000500,원리(경산방향)
DGB3600000600,원리새마을회관
DGB3600000700,원리입구
DGB3600000900,흥산(청도방향)
DGB3600001200,삼성2리(청도방향)
DGB3600001300,구금곡초교(청도방향)
DGB3600001400,신석(청도방향)
DGB3600001600,금곡1리(신방방향)
DGB3600001700,금곡1리(경산방향)
DGB3600001800,금곡2리(신방방향)
DGB3600001900,금곡2리(경산방향)
DGB3600002000,송백3리(경산방향)
DGB3600002100,송백3리(신방방향)
DGB3600002300,송백1리(신방방향)
DGB3600002400,송백1리(경산방향)
DGB3600002500,송백2리(신방방향)
DGB3600002600,송백2리(경산방향)
DGB3600002700,대구외국어대학 건너
DGB3600002800,대구외국어대학
DGB3600002900,신방종점
DGB3600003000,신방(경산방향)
DGB3600003200,한국복지사이버대학
DGB3600003300,영남외국어대정문
DGB3600003400,영남외국어대 건너
DGB3600003500,영남외대종합복지관
DGB3600003700,사림종점(남산방향)
DGB3600003800,사림종점
DGB3600003900,백천동화리버빌
DGB3600004000,백천월드메르디앙정문
DGB3600004300,백천신나리A 정문
DGB3600004400,백천주공정문
DGB3600004900,대신대입구
DGB3600005300,백천윤성A
DGB3600005400,백천윤성A 건너
DGB3600007200,문명고
DGB3600008200,흥정리마을회관
DGB3600008400,흥정리(사림방향)
DGB3600009100,상대온천
DGB3600009500,연하리(남산방향)
DGB3600009600,우방유쉘A 건너
DGB3600009800,우방유쉘A
DGB3600010300,장산중 건너
DGB3600010400,조곡복지센터
DGB3600010500,조곡복지센터 건너
DGB3600010800,장산중
DGB3600011000,한의대(경산방향)
DGB3600011100,옥산농협 건너
DGB3600011200,옥산농협
DGB3600011300,조곡리교회 건너
DGB3600011400,상방주공A 건너
DGB3600011500,조곡리교회
DGB3600011800,반곡리(경산방향)
DGB3600011900,상방주공A
DGB3600012000,반곡리
DGB3600012400,상대리(경산방향)
DGB3600012500,상대리(상대방향)
DGB3600012900,연하리(사림방향)
DGB3600013000,향교네거리(혜광사)
DGB3600013100,향교네거리(혜광사건너)
DGB3600013300,안심리보건진료소
DGB3600013400,사거지(조곡방향)
DGB3600013800,사거지(남산방향)
